RestaurantName,Street,StreetNumber,City
Delicious Café of Parlor,Cynthia Trafficway,49073,Ellisstad
Hearty Bistro of Hut,Campbell Islands,91415,Tonystad
Cozy Spot of Garden,Kim Ville,105,Jeremiahville
Spicy Corner of Station,Lee Neck,85646,East Theresa
Delicious Grill of Rooftop,Jones Crest,284,Joshuatown
Cozy Corner of Station,Mary Stravenue,0086,Georgeside
Hungry Café of Hut,Grant Isle,025,Robertsfort
Hearty Oven of Garden,Amy Fords,51874,North Stephaniefort
Hungry Café of Garden,Adam Isle,97412,West George
Golden Tavern of Hill,Ashley Throughway,43450,Port Nicoleport
Hearty Tavern of Garden,Emily Plains,21475,East Tylerburgh
Savory Bistro of Parlor,Samantha Road,281,Port James
Hearty Plate of Palace,Karen Flat,6097,Lake Evelynton
Savory Diner of Station,Rodriguez Lock,3517,West Dana
Savory Oven of Hut,Samantha Circle,7199,New Nicholas
Hungry Kitchen of Lake,Curry Extension,051,Christinachester
Hungry Corner of Garden,Bender Highway,41365,Michaelfort
Savory Café of Station,Richard Neck,35113,East Ericastad
Spicy Café of Garden,Terri Loop,16570,Port Shannon
Savory Bistro of Station,Long Track,518,Danielside
Tasty Diner of Parlor,Turner Path,463,Robertsfort
Hungry Spot of Hill,Jared Square,8828,Terrybury
Golden Corner of River,Edwards Corners,505,Lake Michael
Delicious Kitchen of Palace,Clayton Manor,179,Ellisstad
Cozy Kitchen of Hut,Clarke Roads,963,Chaseville
Savory Oven of Hut,Hood Mews,286,Smithchester
Delicious Bistro of Garden,Shelly Springs,90838,Lake Michael
Tasty Bistro of Station,Davis Spring,74079,Collinview
Hungry Corner of Hut,Rachel Flat,219,New Joannemouth
Hungry Oven of Parlor,Carney Junctions,2401,Petermouth
Tasty Oven of Station,Bradley Shores,45655,Port Jessicafurt
Spicy Diner of Garden,James Meadows,94361,East Theresa
Tasty Corner of Garden,Ashley Path,2090,Hamiltonburgh
Golden Bistro of Station,Cuevas Garden,9315,Danielside
Delicious Spot of Garden,Christina Curve,7227,East Katrina
Spicy Grill of Hut,Brandi Forges,29620,Ramirezberg
Tasty Bistro of Garden,Anthony Rest,7718,West Jaytown
Spicy Spot of River,Brittany Hill,7446,East Joseview
Hearty Diner of Rooftop,Mccoy Trace,30586,East Jessetown
Hearty Kitchen of Parlor,Jeanette Mountains,289,Robinsonberg
Cozy Bistro of Station,John Lane,382,West Jamiechester
Hungry Bistro of Parlor,Foster Glen,69180,Lake Markhaven
Tasty Plate of Palace,Megan Neck,801,Daviston
Delicious Tavern of Garden,Brian Landing,06877,Benjaminborough
Golden Corner of Hut,Rose Brook,318,Barrettville
Cozy Oven of Hut,Tyler Spurs,32459,East Danielhaven
Hearty Plate of Hill,Michael Alley,5387,East Kimberlyside
Spicy Oven of Parlor,Jared Stream,839,Port David
Cozy Kitchen of Hut,Dillon Valley,38772,Morrisonside
Golden Grill of Station,Paul Island,6121,Clementsbury
Spicy Bistro of Garden,Jane Ville,06844,New Allisonhaven
Golden Diner of Parlor,Richardson Tunnel,101,Veronicafort
Hearty Spot of Parlor,Vaughn Oval,923,Harriston
Tasty Diner of River,Michael Route,1663,Dennisview
Delicious Bistro of River,Melendez Mall,4564,Kentstad
Savory Kitchen of Station,Leonard Trail,19900,West Heatherhaven
Delicious Corner of River,Dorothy Well,7617,New Sara
Hearty Bistro of Hill,Berry Unions,49411,South Hannah
Delicious Corner of Parlor,Sarah Corners,14373,Stewartshire
Hearty Diner of Rooftop,Sherry Junction,31620,Lake Tammy
Spicy Plate of Lake,Brady Fords,912,East Kimberlyside
Tasty Diner of Lake,Steven Ranch,7205,Alexanderborough
Savory Grill of Garden,James Extensions,711,North Jennifer
Cozy Kitchen of Parlor,Jennifer River,838,Bradleyfurt
Golden Tavern of Palace,Turner Island,49532,East Lisatown
Tasty Tavern of Station,Dixon Lakes,9186,Lake Terriview
Delicious Oven of Station,Joshua Forge,45176,New Patriciatown
Savory Plate of Palace,Silva Crescent,298,Lake Karen
Delicious Bistro of Hut,Soto Passage,413,Port Alexis
Golden Tavern of Hut,Robert Trail,348,Andrewsmouth
Cozy Diner of Parlor,Davis Lock,062,Campbelltown
Delicious Corner of Station,Christopher Forges,780,South Amber
Hearty Oven of Parlor,Marcia Islands,5920,Floresbury
Tasty Bistro of Lake,Elizabeth Points,65628,Port Alexis
Tasty Kitchen of Hill,Mary Springs,0437,Veronicafort
Golden Kitchen of Garden,Chad Loaf,287,New Sara
Hearty Plate of Palace,Allison Meadow,997,New Samantha
Cozy Plate of River,Brown Gardens,86854,West Megan
Hungry Spot of Hill,Henson Mills,175,Hunterchester
Delicious Oven of Garden,Hopkins Glens,178,Riddlechester
Savory Bistro of Hut,Morales Lodge,540,Floresbury
Hungry Kitchen of Garden,Adams Ville,93356,South Monicaburgh
Hungry Corner of Rooftop,Patel Extension,45157,West Megan
Hearty Diner of Station,Nathan Spring,804,Floresbury
Spicy Café of River,Kim Knolls,6578,Port Williamton
Cozy Grill of Palace,Johnson Burgs,889,North Mary
Tasty Grill of Station,Robert Cove,792,Suzannestad
Delicious Bistro of Lake,Alexander Heights,075,Terrybury
Spicy Café of Garden,Flynn Keys,8653,Michaelmouth
Delicious Kitchen of River,Hopkins Dale,36487,West Kevinstad
Cozy Plate of Garden,Ayala Manor,63390,New Patriciatown
Golden Bistro of Rooftop,Julie Brook,956,West Dana
Hungry Corner of Palace,Lauren Village,002,East Danielhaven
Hearty Kitchen of Garden,Joshua Stravenue,2911,Marshallton
Hearty Café of Hut,Smith Station,769,North Catherineborough
Hearty Tavern of Lake,Wheeler Estate,5017,Port Lisaton
Savory Kitchen of Hill,Brenda Mall,385,Audreymouth
Cozy Grill of Hut,Kevin Lodge,1355,New Heatherview
Hungry Plate of Station,Victoria Rest,64491,Stewartshire
Golden Spot of Garden,Williams Trace,13497,New Joseph
Delicious Corner of River,Zachary View,54533,Jillianport
Golden Café of Lake,Stewart Groves,0933,Port Josephbury
Cozy Plate of Parlor,Nicholson Spring,772,West Coreyside
Hearty Diner of Palace,Greg Inlet,3688,West Heatherhaven
Delicious Spot of Hut,Martinez Harbor,74318,Andrewsmouth
Savory Spot of Parlor,Bartlett River,83819,Ferrellville
Savory Tavern of Parlor,Cynthia Lake,25158,Perezbury
Tasty Spot of Hill,Sweeney Square,32675,Port Julia
Golden Corner of Station,Miranda Islands,645,Dianeberg
Savory Bistro of Hut,Santos Flats,577,Stacyport
Hungry Bistro of Palace,Michael Heights,617,Payneshire
Hearty Corner of Hut,Tonya Square,836,Andrewsmouth
Tasty Corner of Hut,Crystal Shore,1374,Brittanyport
Tasty Café of Palace,Black Springs,702,Lake Evelynton
Delicious Plate of Garden,James Island,23817,Alexanderborough
Savory Bistro of Lake,Kimberly Island,599,West Megan
Cozy Plate of Hill,Anthony Loaf,1853,East Patriciastad
Cozy Spot of River,Kemp Manors,8456,North Michael
Hearty Café of Parlor,Fox Manors,9121,Victorchester
Savory Kitchen of Lake,Jefferson Villages,081,East Debbie
Cozy Oven of Hut,Rachel Way,8684,New Thomasbury
Delicious Plate of Garden,Lori Glen,8469,Lake Theresa
Golden Oven of Palace,John Landing,500,Dominguezfort
Tasty Bistro of Parlor,Craig Islands,533,East Jimburgh
Tasty Corner of Parlor,Lisa Flats,49814,North Alexander
Delicious Tavern of Station,John Dale,67047,South Josephmouth
Tasty Tavern of River,Daisy Crescent,59271,West Jamesland
Savory Spot of River,Charles Well,932,South Ryan
Golden Bistro of Rooftop,Rose Lodge,01180,West Brent
Spicy Diner of Lake,Jeremy Port,884,South Cody
Savory Corner of Parlor,Guzman Crescent,783,Lake Michael
Golden Diner of Rooftop,Paula Trace,2265,New Patriciatown
Hearty Corner of Hut,Warner Shoals,95572,Snydermouth
Hearty Grill of Rooftop,Rogers Squares,3792,Port Jessicafurt
Tasty Oven of Rooftop,Colin Way,503,Lake Josephside
Tasty Diner of Parlor,Wright Field,1782,Jenniferchester
Spicy Tavern of Station,Marks Square,6631,Garciafurt
Hearty Corner of Parlor,Gary Ways,49552,North Joshuachester
Tasty Tavern of River,Dale Loaf,729,Daviston
Savory Café of Station,Perez Path,45598,New Amy
Hungry Café of Parlor,Tim Causeway,91541,Jenniferchester
Golden Kitchen of Parlor,James Mountains,2385,North Jeffery
Spicy Oven of Lake,Christopher River,299,East Patriciastad
Cozy Café of Hut,Martinez Shoals,5056,West Jeffrey
Tasty Grill of River,Jamie Trail,067,Murphyburgh
Savory Diner of Palace,Emily Ford,9819,Port David
Savory Tavern of Hill,Hunter Manor,344,North Damon
Hearty Spot of Station,Deanna Skyway,96324,West Thomasbury
Delicious Corner of Station,Cordova Ramp,419,South Ethanberg
Hearty Spot of Station,Phillips Ferry,9853,Kathrynberg
Hungry Grill of Station,Brewer Island,3355,West Timothy
Hearty Café of Hut,Rios Bridge,8404,Lake Seth
Golden Bistro of Rooftop,Hernandez Falls,14802,West Lisa
Golden Grill of Station,Schaefer Dam,5556,Lopezhaven
Cozy Bistro of Rooftop,Kelly Key,7900,Port Amanda
Golden Spot of River,Elizabeth Road,78935,Santiagoberg
Spicy Spot of Lake,Olsen Bridge,17635,Danielside
Delicious Oven of Garden,Hester Glens,3544,Reedtown
Tasty Bistro of Rooftop,Mcintosh Camp,768,New Cynthiashire
Tasty Café of Parlor,Jessica Ferry,510,West Seanchester
Hearty Tavern of Rooftop,Deborah Drive,304,North Rebeccafort
Tasty Bistro of Lake,Robinson Squares,806,Robinsonberg
Spicy Tavern of Parlor,Cohen Turnpike,41181,West Timothyhaven
Cozy Diner of Palace,Anne Grove,623,Shortberg
Golden Bistro of Palace,Caroline Roads,559,South Curtis
Hungry Tavern of Hill,Carlos Roads,142,New Joseph
Hungry Oven of Parlor,Emily Heights,804,Port Josephfort
Spicy Plate of Hut,Humphrey Summit,7702,Port Sandra
Hearty Diner of Palace,Jessica Land,0029,South Lauren
Savory Café of Rooftop,Cassandra Village,15379,Mannchester
Tasty Kitchen of Lake,Rodriguez Trail,299,Murphyburgh
Savory Plate of River,Stevens Extensions,8509,Chaseville
Spicy Diner of Garden,Robinson Gardens,713,East Lisatown
Delicious Café of Garden,Mendoza Rapids,074,West Carrie
Delicious Bistro of Lake,Stewart Mission,883,East Lisatown
Golden Spot of Palace,Jessica Trail,745,Lake Markhaven
Hearty Bistro of Hut,Megan Drives,649,New Jose
Hungry Grill of Lake,Kevin Spurs,8475,Port Huntermouth
Savory Café of Hill,Reid Views,70802,North Zachary
Savory Oven of River,Bernard Squares,84589,Lake Brandonmouth
Golden Café of Palace,Farmer Spurs,2132,Alexanderborough
Hearty Plate of Lake,Becky Mall,29673,Kellytown
Spicy Plate of Station,Crawford Wall,9993,Gilbertland
Cozy Plate of Rooftop,Harris Pines,64735,Jasmineville
Tasty Diner of Hill,James Union,579,South Kevin
Hungry Oven of Rooftop,Lauren Stravenue,419,Bradleyfurt
Hearty Corner of Hut,Joseph Ports,06227,Richardchester
Delicious Diner of Rooftop,Allison Squares,23953,Lake Paigetown
Cozy Café of Palace,Young Mall,448,Sheltontown
Tasty Bistro of Palace,Tammy Inlet,09727,North Jeremy
Delicious Bistro of Garden,Sabrina Hills,17196,East Katrina
Hungry Oven of Hut,Brewer Shore,5174,New Cynthiashire
Hungry Tavern of Rooftop,Judith Springs,95762,Port Thomaschester
Savory Spot of Station,Anthony Ridge,7866,Robertsfort
Delicious Kitchen of Hut,Geoffrey Branch,59853,North Jennifer
Golden Bistro of Garden,Valentine Haven,5381,New Scott
Spicy Corner of Station,Kimberly Run,7883,West Jaytown
Spicy Kitchen of Lake,Beth Trail,9626,New Vanessa
Hearty Corner of River,Atkinson Neck,8150,North Mary
Delicious Plate of Rooftop,Campbell Route,7291,South Lauren
Golden Café of Hut,Brian Street,6665,Ericville
Golden Kitchen of Hut,Morgan Hills,685,Lake Seth
Spicy Café of Hill,Jones Orchard,4623,East Stanley
Cozy Grill of Palace,John Courts,8755,Tristanton
Hungry Bistro of River,Arnold Skyway,48195,Lake Carolyn
Cozy Café of Rooftop,Delgado Lodge,387,South Monicaburgh
Cozy Plate of Hut,Martin Wall,4127,Westmouth
Golden Diner of River,Stark Islands,317,North Zachary
Tasty Kitchen of Station,Anderson Trafficway,30325,North Ryanmouth
Hearty Spot of River,White Forks,6882,Whiteside
Hearty Tavern of Parlor,Jack Drives,5098,Port Amanda
Spicy Grill of Hut,Robert Light,319,Port Thomaschester
Savory Café of Palace,Gonzalez Wall,943,South Sean
Savory Kitchen of River,Joseph Drives,07027,Jodifurt
Savory Tavern of Hill,Tony Wall,609,West Edwardchester
Spicy Grill of Rooftop,Lewis Springs,50903,West Mitchellborough
Hearty Bistro of Lake,Nicole Forges,1583,North Williamfurt
Spicy Oven of Palace,Arthur Center,02306,South Sarah
Hearty Diner of Parlor,Decker Islands,00130,Petermouth
Hungry Bistro of Hill,Kristopher Shoal,25621,Danielville
Tasty Spot of Parlor,Hayes Shoals,46827,Zimmermanfort
Hearty Kitchen of Palace,Edward Terrace,9316,Weissmouth
Spicy Grill of Garden,Kristin Inlet,7780,Kristinmouth
Tasty Oven of Hill,Jimenez Corners,2539,Lake Kevinfurt
Hungry Oven of River,Mcgee Ville,1718,Barajasberg
Savory Kitchen of Rooftop,Teresa Glen,894,Lake Karen
Hungry Tavern of Garden,Susan Route,59541,East Daniel
Hungry Tavern of Palace,Colin Pike,759,West Michael
Hungry Corner of Station,Javier Square,2849,Michaelside
Golden Grill of Palace,Ochoa Walk,43083,South Sarah
Spicy Plate of Rooftop,Bryant Centers,9058,North Nicole
Delicious Spot of Garden,Barnes Falls,7255,Port Kathy
Savory Spot of Lake,Dakota Drives,9043,Martinbury
Savory Grill of Rooftop,Brenda Falls,98005,Ericville
Hungry Café of Hut,Lewis Stravenue,170,North Stephaniefort
Tasty Corner of Rooftop,Dominguez Lane,432,Dominguezfort
Cozy Oven of Palace,Steven Mall,038,Port William
Golden Kitchen of Lake,Holly Green,0819,Ashleymouth
Delicious Grill of Hut,Sara Land,3245,Reedtown
Spicy Diner of Parlor,Johnson River,580,Lake Michael
Cozy Plate of Palace,Christopher Corners,9481,Brittanyport
Cozy Kitchen of Palace,Alexis Skyway,8794,Jeremiahville
Cozy Café of Lake,Michael Knolls,4681,West Craigbury
Hearty Kitchen of Station,David Divide,13066,East Raymondborough
Tasty Bistro of River,Griffin Springs,38344,Elizabethville
Savory Plate of Hut,Whitney Rest,31316,Morganton
Hungry Plate of Parlor,Gregory Crescent,5785,North Kathryn
Hearty Grill of River,Haley Turnpike,5206,New Joseph
Savory Café of Hill,Church Lake,1359,East Rebecca
Savory Café of Parlor,Margaret View,09122,Jacquelineborough
Hearty Corner of Garden,Shannon Islands,7498,North Erikport
Golden Spot of Rooftop,Jeremy Keys,766,Katrinamouth
Golden Oven of Station,Stacy Brooks,606,Michaelton
Golden Diner of Garden,Jones Corner,31684,East Andreamouth
Delicious Diner of Parlor,Cobb Mountain,9882,Richardchester
Spicy Tavern of Parlor,Cain Junction,43287,New Davidbury
Tasty Plate of Station,Smith Wall,9194,Lake Michael
Spicy Grill of Palace,Tim Hollow,3572,West George
Cozy Bistro of Station,Harper Streets,993,West Coreyside
Cozy Café of Station,Alexander Land,5559,North Blakebury
Tasty Spot of Palace,Jenkins Vista,184,Floresburgh
Cozy Café of Rooftop,Eric Mews,4732,Floydburgh
Savory Bistro of Parlor,Brown Alley,697,Port David
Hungry Kitchen of Hut,Pugh Spur,0209,Georgeside
Cozy Diner of Lake,Vaughan Village,8135,South Garychester
Spicy Tavern of Hut,Ronald Mews,12439,Morganton
Tasty Bistro of Station,Amy Mountain,73359,South Glenn
Golden Kitchen of Station,Cristina Way,7396,Zimmermanfort
Cozy Bistro of Garden,Coleman Divide,115,North Kathryn
Tasty Plate of Rooftop,Keith Park,077,Weissmouth
Spicy Café of Garden,Dustin Locks,3543,Youngtown
Delicious Diner of River,Dana Brook,8537,Port Jesseberg
Spicy Plate of Palace,Perry Courts,170,South Glenn
Savory Grill of Parlor,Stein Fall,3820,Lake Terriview
Cozy Café of Lake,Angela Villages,87349,New Davidtown
Tasty Café of River,Gloria Ports,7022,North James
Golden Café of Station,Mcgee Spur,90378,North Kathryn
Delicious Corner of Garden,Barnes Spur,89880,Charleschester
Tasty Oven of Station,Erik Brooks,053,Michaelton
Cozy Corner of Rooftop,Bradley Mountain,6385,Owenschester
Savory Spot of Station,Matthew Loop,75864,Martinbury
Savory Corner of Rooftop,Taylor Shoals,05415,Darleneland
Spicy Kitchen of Garden,Holland Highway,5999,South Kevin
Tasty Tavern of Lake,Elijah Valleys,32947,Mccoyview
Delicious Plate of Rooftop,Montgomery Viaduct,96061,Port Lisaton
Cozy Oven of River,Fleming Island,00485,East Raymondborough
Savory Grill of River,Matthew Lake,9129,Priceland
Tasty Kitchen of Lake,Gonzalez Points,5338,West Edwardchester
Golden Oven of Hut,Jackson Station,3448,West Dana
Spicy Plate of Palace,Roger Hills,701,South Hannah
Golden Spot of Station,Jason Cape,7628,Hintonmouth
Savory Kitchen of Hut,Christian Extension,5014,North Michael
Golden Tavern of Garden,Michelle Plaza,209,New Sara
Hungry Plate of Rooftop,Derrick Light,548,Port Kathy
Savory Kitchen of Palace,Morris Lodge,401,New James
Cozy Plate of Hut,Shea Wells,5156,Longhaven
Hungry Diner of Garden,Joseph Avenue,518,North Yvettefort
Spicy Kitchen of River,Andrews Greens,081,East Katrina
Hungry Café of River,Jason Cliffs,677,Lake Tammy
Tasty Kitchen of Hill,Lynn Branch,679,Andrewfurt
Spicy Oven of Garden,Kevin Roads,30113,Port Kathy
Golden Oven of Hill,James Burgs,121,Nataliefurt
Tasty Plate of Palace,Daniel Point,07367,Port Thomaschester
Cozy Grill of Palace,Tamara Shores,3891,Hintonmouth
Spicy Corner of Station,Gonzalez Bridge,4018,Torresstad
Hungry Corner of Hill,Weaver Courts,5825,Lake Matthew
Delicious Café of Lake,Michael Fall,89495,Port Jessicafurt
Hungry Café of Garden,Benton Shoal,317,East Jimburgh
Tasty Plate of Station,Kimberly Squares,890,Evanston
Hearty Tavern of Lake,Gilbert Valleys,3013,Paulland
Hearty Corner of Parlor,Hernandez Groves,8377,South Amber
Savory Corner of Lake,Phillip Mountain,065,Hornchester
Delicious Spot of Lake,Brown Rapid,4543,Zimmermanfort
Hungry Café of Lake,Warren Road,40507,New Jose
Delicious Plate of Lake,Mccoy Heights,5362,West Susanmouth
Hungry Corner of River,Harris Turnpike,6807,Michaelside
Hungry Corner of Hill,Jillian Rue,0702,Port Amanda
Spicy Plate of Station,Michael Course,360,Lake Seth
Delicious Oven of Garden,Summers Union,865,New Natalie
Hearty Grill of Garden,Thomas Islands,3935,East Ericastad
Delicious Kitchen of Parlor,Cynthia Villages,5740,Matthewstad
Tasty Spot of Station,Yang Common,2595,South Ashleyville
Savory Plate of Garden,Marcia Junctions,3592,Andrewfurt
Tasty Grill of Hill,Victoria Road,480,New Davidbury
Hearty Spot of Garden,Kaitlyn Route,014,North Janet
Cozy Grill of Garden,Daniel Mount,22087,West Brenda
Spicy Café of Hill,Kelly Drives,994,Lake Tracy
Hungry Tavern of Station,Mahoney Manors,964,Dillonport
Hearty Diner of Parlor,Elizabeth Parkways,752,Barnettmouth
Hearty Bistro of Garden,Jane Lodge,1167,North Gabriel
Tasty Bistro of Hill,Odonnell Cove,88180,Collinview
Spicy Oven of Station,Davis View,2715,Andrewsmouth
Spicy Spot of Rooftop,White Turnpike,378,Burtonshire
Spicy Oven of Hill,Michael Avenue,82924,New Joshua
Delicious Bistro of Station,Sweeney Plain,232,South Melissaville
Tasty Diner of Hut,Amy Ridges,937,Port Nicoleport
Golden Corner of Palace,Matthews Terrace,548,Andrewsmouth
Hungry Plate of Station,Parker Forge,03619,Garciafort
Hungry Plate of Garden,Nelson Tunnel,9239,Lake Matthew
Delicious Plate of Rooftop,Merritt Branch,5829,New Patriciatown
Golden Corner of Hill,Gomez Underpass,5849,North Jennifer
Cozy Oven of River,Tyler Estates,5498,Port Huntermouth
Cozy Grill of Hill,Gail Glens,1480,Michaelfort
Cozy Oven of Garden,Anderson Ways,5486,South Cody
Delicious Bistro of Hut,Megan Road,8070,East Stanley
Golden Tavern of Hut,Scott Hollow,9320,Juliastad
Cozy Oven of Hill,Anderson Falls,386,North Michelle
Spicy Spot of Garden,Hansen Unions,0847,New Davidbury
Spicy Grill of Parlor,David View,34898,South Amber
Hearty Bistro of Rooftop,Rodriguez Rapids,975,Evanston
Delicious Tavern of Parlor,Brandon Station,035,West Susanmouth
Cozy Oven of Station,Jeremy Valley,5364,Port Susanville
Cozy Grill of Hill,Craig Cliffs,57670,Parkerchester
Golden Kitchen of Hill,Ellis Station,415,Port Jackiebury
Cozy Bistro of Hut,Brandi View,6948,West Megan
Tasty Oven of River,Christopher Plaza,9001,South Sean
Cozy Corner of River,Melendez Highway,37575,New Jonathan
Hungry Bistro of Parlor,Ferrell Stream,7074,Christinachester
Tasty Diner of Hut,David Skyway,1737,Lake Jenniferborough
Hearty Diner of Lake,Mercer Underpass,547,South Curtis
Tasty Oven of Palace,Figueroa Spurs,3698,Morrisfurt
Tasty Bistro of River,Alex Ferry,384,West Dana
Cozy Corner of Hut,Boyd Stream,0011,Port Alexis
Savory Diner of Parlor,Jenna Pines,20155,East Rachel
Golden Diner of Garden,Morgan Bypass,671,Evanston
Golden Grill of Hill,Lacey Cliffs,8877,Lake Evelynton
