RestaurantName,Street,StreetNumber,City
Tasty Kitchen of River,Lauren Shoal,2786,West Jennifer
Hearty Grill of Hill,Christina Isle,3095,Garretthaven
Hungry Grill of Lake,Dylan Road,92591,North Annburgh
Cozy Grill of Rooftop,Gary Turnpike,0227,New Jessica
Delicious Café of Hill,Hernandez River,62787,Alexandraport
Delicious Spot of Palace,Matthew Trafficway,984,Ivanburgh
Hungry Diner of Palace,Rodriguez Parkway,634,New Johnchester
Savory Grill of Station,Moore Pines,039,Quinnhaven
Delicious Grill of Lake,Victor Route,545,Port Bryan
Savory Café of River,Charlene Ford,4240,Scottchester
Hungry Plate of Lake,Ramirez Stravenue,5620,Markville
Hungry Oven of Station,Eddie Junction,27065,South Sergio
Cozy Kitchen of Garden,Reeves Hollow,33027,Port Robertfurt
Hungry Grill of Hill,Erica Stream,66897,Port Karitown
Cozy Café of Garden,Brenda Lights,4622,Port Shawn
Tasty Tavern of Hill,Jared Road,570,North Elizabethstad
Hearty Diner of Lake,Porter Islands,52443,Joneschester
Cozy Kitchen of Palace,Tiffany Estates,597,Scottfurt
Spicy Diner of Parlor,Valdez Vista,007,Lake Davidfurt
Tasty Café of Garden,Barbara Plains,63638,Rodriguezside
Spicy Café of Rooftop,Rebecca Glens,0760,North Matthewfurt
Tasty Kitchen of Station,Austin Lakes,4054,Scotttown
Spicy Oven of Hut,Solomon Crest,4545,Robertfurt
Tasty Diner of Hut,Leonard Squares,626,North Kristitown
Hearty Diner of Station,Brian Camp,594,Nicholeview
Golden Bistro of Lake,Michael Squares,8364,Port Mary
Delicious Diner of Garden,Mark Parkway,551,Daviston
Hearty Café of River,Adams Wells,26779,Reyesbury
Delicious Café of Palace,John Pike,525,Taylorton
Tasty Tavern of River,Travis Branch,687,New Christinefort
Delicious Bistro of Rooftop,Samuel Camp,94920,Calderonhaven
Hearty Diner of Rooftop,Murphy Land,963,North Karen
Hearty Corner of River,Owens Prairie,535,Michaelfurt
Golden Bistro of River,Henderson Forest,842,East Jonathanfort
Hungry Grill of Rooftop,Reilly Crossroad,905,South Andrewside
Hearty Diner of Hut,Anthony Rapids,28297,Port Elizabethville
Savory Spot of River,Torres Plaza,185,Nicoleport
Savory Spot of Station,Le Avenue,966,North Jenniferton
Spicy Tavern of Lake,Patrick Mill,939,Port Robinstad
Spicy Café of Lake,Mark Dale,8271,North Randall
Hungry Plate of Lake,Donna Plaza,5397,Clarkton
Hungry Spot of Station,Dorothy View,3727,South Charlesview
Savory Kitchen of Lake,Hughes Rest,9556,Lake Gary
Cozy Plate of Hill,Snyder Junction,2951,West Melissa
Cozy Grill of Rooftop,Gray Flat,69252,Debramouth
Tasty Kitchen of Parlor,Michael Rapid,37037,Willischester
Hearty Café of River,Sarah Bridge,7224,Lake Jamesville
Hungry Café of River,Carrillo Fields,78418,Lake Donnaland
Tasty Oven of Hill,Davis Junctions,401,Davidmouth
Spicy Café of Hill,John Field,599,Butlerport
Delicious Café of Garden,Oconnor Knolls,5154,Keithside
Hungry Tavern of Hill,Hughes Grove,51656,Kyleshire
Tasty Plate of Parlor,Randy Keys,775,Lake Jamesville
Hungry Café of Parlor,Lopez Lights,42263,East Kristinbury
Savory Corner of Lake,Crane Fort,966,Helenport
Spicy Plate of Palace,Randy Springs,866,West Davidburgh
Hungry Diner of Lake,Brooks Wells,9647,New Kristina
Cozy Corner of Hill,Trujillo Avenue,1501,West Kellimouth
Delicious Plate of Hut,Kevin Squares,7120,Port Robertfurt
Savory Café of Palace,Moore Falls,499,Bradyland
Cozy Corner of Palace,Webb Island,42373,South Sabrinamouth
Spicy Tavern of Rooftop,Moore Station,74881,Ryanmouth
Tasty Diner of Palace,King Mountains,1551,Reyesbury
Hungry Tavern of Hut,Tammy Pines,86065,North Sharon
Hearty Spot of Rooftop,Guzman Brook,75165,Lake Denisefort
Cozy Café of River,Sandra Hollow,0053,Reyesbury
Golden Spot of Rooftop,Larry Views,26828,Scottfurt
Cozy Grill of Palace,Phillips Loaf,163,Kimbury
Hungry Café of Garden,Corey Parks,110,Mullenshire
Spicy Kitchen of Lake,Carey Roads,188,Lake Sandra
Delicious Tavern of Hill,James Flat,8008,West Edwardmouth
Golden Kitchen of Hut,Burnett Ridges,7742,West Marcburgh
Golden Oven of River,Fletcher Spur,69142,Ryanmouth
Cozy Kitchen of Rooftop,Kimberly Junction,17310,East Robertton
Cozy Corner of Parlor,Dennis Curve,54343,East Martinland
Hearty Tavern of Rooftop,Jonathan Rapid,534,Lanechester
Tasty Café of Hut,Wade Lock,24243,Hallberg
Delicious Plate of Hut,Tyler Coves,826,Beckchester
Savory Spot of Hut,Sherry Underpass,93607,East Larryland
Delicious Kitchen of Hill,Paul Hills,3501,Calderonhaven
Delicious Oven of River,Ryan Club,55352,Andersonfort
Spicy Tavern of Palace,Thornton Pines,490,East Robertton
Savory Bistro of Palace,Kevin Cape,77478,Johnsonstad
Hungry Plate of Hut,Melissa Orchard,7802,Port Margaretfurt
Hearty Grill of Parlor,Smith Passage,6904,Hansonmouth
Savory Café of Garden,Kaitlyn Well,60262,Hernandezberg
Tasty Tavern of Garden,Karen Port,0975,Wernerfurt
Tasty Bistro of Parlor,Alec Lock,3657,East Cameronmouth
Hearty Kitchen of Hill,Sean Plain,640,Nicholeview
Cozy Grill of River,Johnson Ferry,475,Reginabury
Spicy Diner of Palace,Elizabeth Loaf,50921,North Ericview
Hungry Oven of Station,Pugh Canyon,644,Singletonhaven
Hungry Spot of Palace,Matthew Unions,97297,Gutierrezshire
Spicy Spot of Station,Rose Road,779,West Kellimouth
Delicious Bistro of Lake,Murray Keys,108,North Randall
Savory Tavern of Hut,Donald Mount,361,Sherihaven
Golden Bistro of Parlor,Elizabeth Ford,40920,West Jennifer
Hearty Grill of Parlor,Harrison Gateway,71612,West Cynthiaburgh
Savory Tavern of Rooftop,Keller Flats,6696,Port Bryan
Hungry Bistro of Rooftop,Rachel Freeway,13367,Port Williamfurt
Cozy Corner of River,Johnson Alley,33667,Hardyville
Savory Plate of Rooftop,Michael Trail,20909,Helenport
Hearty Tavern of Rooftop,Spencer Rapids,167,Clarkton
Delicious Diner of Parlor,Tim Wells,4973,Batesland
Golden Plate of Hut,Cook Park,4089,South Alison
Golden Bistro of Hill,Barnes Vista,09842,Scottchester
Spicy Corner of Lake,Horton Port,394,East Alexandrashire
Hungry Diner of Lake,Garcia Isle,665,New Melissaville
Hungry Spot of Hill,Perez Road,42171,South Michael
Tasty Bistro of Lake,Brooks Mill,8193,South Christian
Hearty Kitchen of Rooftop,Sara Orchard,2973,Brownmouth
Savory Plate of Garden,Erica Freeway,59329,North Marthahaven
Spicy Tavern of River,Robert Falls,249,Taylorton
Tasty Tavern of Palace,Bentley Ports,988,Lake Pamelaside
Spicy Café of Rooftop,Norton Plains,46915,West Stevenberg
Delicious Plate of Parlor,Mata Green,785,South Josephstad
Hearty Corner of Hill,Brittany Spur,1667,Bradshawport
Tasty Café of Parlor,Patricia Mountains,68186,West Melissa
Hungry Diner of Hill,Landry Valley,70459,Port Williamfurt
Hungry Bistro of Garden,Austin Court,53817,Lake Claudiamouth
Savory Spot of Hut,Neal Station,379,Nicoleport
Cozy Spot of Lake,Cheryl Manor,51746,North Annburgh
Savory Spot of Parlor,Kaitlyn Island,310,Howardbury
Tasty Diner of River,Gonzales Haven,59667,Scottchester
Delicious Diner of Garden,Bradley Green,31926,Kathleenland
Golden Grill of Parlor,Rojas Lane,216,Lake Thomasmouth
Golden Grill of Rooftop,Kelley River,4796,Anthonyfort
Hearty Plate of Parlor,Cody Burg,9723,West Thomas
Spicy Plate of Lake,Jimenez Via,0435,North Veronica
Hungry Diner of Palace,Bass Forks,952,Ivanburgh
Hearty Plate of Hut,Braun Mills,96333,Underwoodville
Savory Diner of Palace,Black Port,560,Port Lisa
Tasty Bistro of Hut,Lindsay Spring,35122,South Paula
Hungry Bistro of Station,Jacob Rapids,2747,South Sergio
Hearty Plate of Garden,Barnes Mountains,469,North Annburgh
Cozy Kitchen of Station,Buchanan Brook,64355,Greeneton
Hungry Kitchen of Hill,Eaton Road,573,Edgarview
Tasty Kitchen of Garden,Hill Expressway,97583,Daviston
Cozy Bistro of Garden,House Forks,066,North Joel
Cozy Plate of Lake,Hawkins Corner,801,East Larryland
Hungry Bistro of Garden,Mendez Bridge,805,South Timothyport
Savory Diner of Station,Clark Neck,664,Kimberlyfurt
Spicy Spot of Station,Kristen Meadows,338,Gregville
Hearty Kitchen of Hill,West Overpass,249,New Michaelfort
Savory Corner of Parlor,Tucker Streets,178,West Michaelchester
Spicy Tavern of Hut,Joseph Lake,659,Blairmouth
Spicy Kitchen of Garden,Melinda Inlet,278,Port Christinaborough
Cozy Spot of Palace,Wells Points,2782,Lake Theresa
Delicious Bistro of River,Marie Skyway,510,North Jamesland
Delicious Plate of Parlor,Mcdaniel Stream,94031,Reginabury
Spicy Bistro of Hill,Brandon Lake,8269,North Matthewfurt
Hearty Kitchen of Rooftop,Parks Forest,027,Markhaven
Cozy Tavern of Hut,Adams Ferry,731,Ashleyfort
Golden Grill of Hut,Baker Village,11272,Jamesport
Cozy Diner of Hill,Brown Rue,5371,Deannatown
Golden Spot of Palace,Nelson Trail,395,Daviston
Spicy Plate of Parlor,Thompson Road,281,East Whitneyshire
Hungry Corner of Station,Green Wells,510,Smithland
Delicious Bistro of Lake,Melissa Row,549,North Jessicahaven
Delicious Café of Station,Jonathan Field,9996,Baileyton
Spicy Diner of Palace,Edwin Skyway,597,New Cassidy
Savory Grill of Hut,Jones Trafficway,201,West Michaelchester
Spicy Oven of Lake,Phyllis Ferry,805,Johnsonmouth
Savory Plate of Palace,Tammy Knolls,0052,West Marcburgh
Cozy Grill of Garden,Tina Square,70872,Julieville
Hungry Café of Garden,Barber Points,504,Braunville
Cozy Oven of Parlor,Jeanette Lakes,944,East Robertton
Golden Bistro of River,Tyler Trafficway,24393,Youngfurt
Hearty Plate of Station,Spencer Ridges,130,Youngfurt
Savory Café of Palace,Williams Mountain,32955,Edgarview
Hungry Corner of Station,Michael Hills,5828,Port Laurachester
Hungry Café of Lake,Renee Meadow,799,Lake Dominique
Hearty Café of Parlor,Gonzalez Walk,7291,Clarkton
Hungry Diner of River,Wells Vista,232,Lake Carol
Golden Diner of Rooftop,Gonzalez Bridge,40608,Garretthaven
Spicy Tavern of Palace,Adams Mountain,546,Dennishaven
Hungry Tavern of Garden,Paul Alley,3752,Charleston
Tasty Spot of Parlor,Martin Gateway,9447,East Nicole
Hungry Tavern of Station,Johnson Burg,577,North Benjaminberg
Cozy Tavern of Garden,Navarro Spurs,667,Colemanville
Golden Kitchen of Garden,Jessica Meadows,58258,South Stevenfurt
Golden Plate of Hut,Hunt Drive,55707,South Sabrinamouth
Hungry Diner of Hut,Adams Isle,228,Port Donnaborough
Spicy Kitchen of Garden,Thomas Pike,0561,Paulton
Delicious Spot of River,Gray Landing,72501,Port Robinstad
Tasty Kitchen of Palace,Arellano Ramp,073,Lake Mitchell
Delicious Bistro of Hut,Hurst Stream,202,North Lisamouth
Hungry Spot of Palace,Christian Trafficway,844,Brandyville
Savory Kitchen of Garden,Kelley Junctions,077,Matthewville
Tasty Oven of Hut,Darlene Dam,90819,North Kristitown
Hearty Corner of Parlor,Keith Islands,92971,East Scottfort
Hungry Tavern of Garden,Melissa Dale,678,Markville
Hearty Café of Lake,Nichole Drive,87236,Sharontown
Delicious Bistro of Station,Miles Oval,1221,Lake Yvonne
Hearty Bistro of River,Sally Isle,5743,Bennettview
Tasty Bistro of Palace,Castillo Estate,537,Moralesborough
Cozy Spot of Hill,Haley Rue,488,Haleside
Hearty Tavern of Palace,Rachel Terrace,47074,West Matthewberg
Delicious Café of Palace,Carey Shoals,6748,North Veronica
Tasty Oven of Hut,Pena Vista,307,West Michaelview
Delicious Kitchen of Station,David Crescent,469,Alexandraport
Hearty Café of Hut,Osborn Turnpike,20247,Kellychester
Cozy Kitchen of Hut,Marquez Wall,355,East Cameronmouth
Cozy Bistro of River,Devin Locks,6165,Markville
Delicious Plate of Lake,Christopher Cliff,21254,Floresview
Savory Plate of Hut,Nicole Heights,465,Adamshire
Savory Oven of Hill,Susan Port,491,Janemouth
Savory Kitchen of Lake,Pratt Burgs,9464,South Nicholasmouth
Hungry Tavern of Parlor,Phillip Shores,2161,Wernerfurt
Delicious Corner of Lake,Deleon Ridge,12893,Gregville
Cozy Plate of Hill,Joseph Branch,8223,Brandontown
Cozy Spot of River,Rice Dam,78486,Hubbardstad
Tasty Diner of Hill,Stephanie Inlet,61400,Mortonport
Tasty Corner of Parlor,Tammie Corners,82131,Kimberlyfurt
Cozy Kitchen of Hill,Skinner Light,8911,North Leroyside
Golden Café of Palace,Phillip Inlet,924,New Mary
Delicious Café of Lake,Ward Terrace,46369,Aaronton
Savory Oven of Garden,Carter Forks,7442,New John
Spicy Kitchen of Rooftop,Garcia Cove,640,Garretthaven
Savory Plate of River,Lauren Neck,7993,East Amanda
Hearty Bistro of Lake,Eric Square,889,South Crystal
Savory Plate of Hill,Kathleen Wall,0777,Floresview
Delicious Corner of Garden,Kaiser Rapids,874,Bryantbury
Delicious Tavern of Garden,Joseph Green,4394,Clarkton
Tasty Diner of Parlor,Joseph Vista,205,Harrisonport
Delicious Bistro of Parlor,Brown Prairie,9863,Lake Davidfurt
Delicious Café of River,Sutton Forest,26362,East Alexandrashire
Spicy Café of River,Michael Key,050,Brandyville
Hungry Spot of Garden,David Vista,7813,Williamsfurt
Golden Oven of Palace,Peterson Bypass,179,North Benjaminberg
Golden Grill of Hut,Ochoa Inlet,76451,Anthonyfort
Delicious Bistro of Lake,Elizabeth Pass,3658,West Colleen
Tasty Diner of Hut,Stephen Ports,23224,North Scott
Hearty Kitchen of Palace,Elaine Streets,5396,Bradshawport
Cozy Grill of Parlor,Lucas Fords,2520,West Derrickfort
Golden Corner of Station,White Course,8497,Lisabury
Cozy Kitchen of Hill,Jeremy Divide,3726,West Thomas
Tasty Tavern of Lake,Gonzalez Forge,239,West Matthewberg
Cozy Tavern of Hut,Harvey Islands,97790,Ivanburgh
Cozy Spot of River,Zimmerman River,46406,South Alexisstad
Golden Corner of Garden,Blanchard Heights,6578,Lake Denisefort
Cozy Spot of Station,Debra Via,549,East Lauren
Tasty Grill of Palace,Bell Mission,86556,South Kelseyport
Savory Grill of Hill,Rice Falls,89584,Aaronton
Savory Diner of Garden,Joe Fords,1210,Port James
Cozy Kitchen of Hut,Wise Junction,023,Sharontown
Savory Kitchen of Palace,Patrick Prairie,5562,West Crystal
Cozy Kitchen of Rooftop,Peck Spurs,04991,Ortizbury
Hearty Spot of Parlor,Rose Plains,35175,North Randall
Golden Diner of Garden,Jones Place,91960,Morrisfort
Hungry Diner of Garden,Jeffrey Shores,86390,Willischester
Spicy Kitchen of Palace,Haley Passage,096,North Scott
Spicy Tavern of Parlor,Smith Field,185,Mccoymouth
Spicy Oven of Palace,Murphy Estates,792,Anthonychester
Delicious Spot of Hill,Williams Track,763,New John
Savory Grill of Parlor,Christina Trafficway,2380,West Marcburgh
Tasty Oven of Hut,Tapia Vista,7072,Campbellborough
Savory Grill of Lake,Misty Keys,15538,Castilloborough
Hungry Corner of Station,Brown Viaduct,3269,Baileyton
Hearty Grill of Garden,Richards Run,1211,Brownmouth
Hearty Spot of River,Casey Drive,071,New Dustin
Hearty Corner of Palace,Cole Ridges,726,Bryantbury
Cozy Bistro of Station,Charles Station,123,South Michael
Hungry Plate of Garden,Thomas Lodge,3460,Kellyberg
Spicy Spot of Lake,Nolan Ranch,244,Port Mirandabury
Delicious Tavern of Palace,James Grove,358,East Adamchester
Hungry Plate of Lake,Lamb Loop,801,West Christopherfurt
Spicy Kitchen of Lake,Villa Fork,94170,Alexanderburgh
Tasty Bistro of Rooftop,Suzanne Extensions,7101,Lake Heather
Cozy Kitchen of Hut,William Extensions,90875,Bryantbury
Spicy Spot of Hill,Hernandez Pine,67552,East Adamchester
Tasty Corner of Hill,Cantrell Plaza,19135,East Felicia
Delicious Kitchen of River,Jessica Circle,18545,Port James
Cozy Bistro of Parlor,Gray Coves,2116,North Marthahaven
Spicy Grill of Parlor,Oconnor Glen,39712,Port Matthewhaven
Savory Bistro of Rooftop,Johnson Port,66271,Robertfurt
Delicious Corner of River,Tony Walk,108,East Jorge
Cozy Plate of River,Michael Land,96304,South Michaelborough
Delicious Diner of Parlor,Erin Radial,541,New Cassidy
Hungry Plate of Station,Kelly Shores,2843,Johnsonmouth
Tasty Plate of Garden,Aguirre Junction,8056,East Kristinbury
Spicy Bistro of Station,Leslie Crossroad,83990,North Jessicaview
Tasty Diner of Hill,Michelle Summit,30798,Rebeccaland
Golden Corner of Palace,Schultz Skyway,591,Dennishaven
Hungry Tavern of Rooftop,Davis Station,1031,Stephenschester
Tasty Tavern of Hut,Samantha Divide,74530,Samanthahaven
Golden Café of Hill,Julie Highway,91504,Davidmouth
Savory Diner of River,Lauren Corners,210,Charleston
Hearty Café of Hut,Michelle Camp,118,Port Gregory
Golden Grill of Hut,Kimberly Wall,14338,South Alexisstad
Golden Grill of Hut,Bond River,377,Matthewmouth
Golden Diner of Garden,Glover Tunnel,71114,East Paulhaven
Tasty Plate of Parlor,Mcconnell Forge,65986,Johnsonmouth
Hungry Diner of Hut,Wilson Springs,795,Rodriguezside
Tasty Corner of Parlor,Rebecca Valley,4665,Wilsonstad
Golden Café of Hut,Franklin Plains,9431,East Jonathanfort
Spicy Plate of Hill,Watts Wells,4331,North Marthahaven
Spicy Kitchen of Lake,Smith Loop,3684,Veronicafort
Cozy Grill of Parlor,Woods Plaza,3282,New Leslieberg
Savory Bistro of Parlor,Reyes Lake,49680,Kimside
Cozy Tavern of Hill,Emily Ramp,2644,West Sheilamouth
